strom,obec,plocha
BK,ivancice,101.88
BO,ivancice,922.53
BR,ivancice,50.73
DB,ivancice,1846.31
HB,ivancice,210.25
JD,ivancice,8.26
JS,ivancice,47.24
KL,ivancice,39.71
LP,ivancice,197.0
MD,ivancice,196.26
OL,ivancice,24.3
SM,ivancice,680.13
TPS,ivancice,5.39
BK,hustopece,19.01
BO,hustopece,110.42
BR,hustopece,16.37
DB,hustopece,1450.62
HB,hustopece,378.22
JD,hustopece,0.0
JS,hustopece,209.3
KL,hustopece,41.26
LP,hustopece,200.58
MD,hustopece,35.68
OL,hustopece,21.76
SM,hustopece,24.91
TPS,hustopece,103.81
BK,zidlochovice,0.79
BO,zidlochovice,74.5
BR,zidlochovice,9.92
DB,zidlochovice,194.9
HB,zidlochovice,1.54
JD,zidlochovice,0.06
JS,zidlochovice,153.11
KL,zidlochovice,9.56
LP,zidlochovice,24.51
MD,zidlochovice,0.41
OL,zidlochovice,9.76
SM,zidlochovice,26.28
TPS,zidlochovice,57.78
BK,bucovice,735.9
BO,bucovice,226.98
BR,bucovice,74.36
DB,bucovice,1016.25
HB,bucovice,588.13
JD,bucovice,7.67
JS,bucovice,64.38
KL,bucovice,66.56
LP,bucovice,200.42
MD,bucovice,258.81
OL,bucovice,21.67
SM,bucovice,339.3
TPS,bucovice,0.0
BK,kyjov,1598.19
BO,kyjov,5232.16
BR,kyjov,227.09
DB,kyjov,2993.49
HB,kyjov,867.11
JD,kyjov,7.74
JS,kyjov,78.29
KL,kyjov,135.34
LP,kyjov,451.51
MD,kyjov,519.46
OL,kyjov,84.36
SM,kyjov,412.32
TPS,kyjov,14.12
BK,vyskov,4742.49
BO,vyskov,2406.09
BR,vyskov,373.49
DB,vyskov,2651.38
HB,vyskov,1310.66
JD,vyskov,246.1
JS,vyskov,182.29
KL,vyskov,223.7
LP,vyskov,347.88
MD,vyskov,1719.32
OL,vyskov,210.74
SM,vyskov,7727.94
TPS,vyskov,3.82
BK,slavkov,171.46
BO,slavkov,137.18
BR,slavkov,182.48
DB,slavkov,804.05
HB,slavkov,590.96
JD,slavkov,4.64
JS,slavkov,109.93
KL,slavkov,60.25
LP,slavkov,204.78
MD,slavkov,191.35
OL,slavkov,17.02
SM,slavkov,78.21
TPS,slavkov,0.17
BK,blansko,3244.02
BO,blansko,1458.61
BR,blansko,46.44
DB,blansko,1081.38
HB,blansko,746.61
JD,blansko,284.8
JS,blansko,166.01
KL,blansko,252.91
LP,blansko,109.46
MD,blansko,1089.65
OL,blansko,83.49
SM,blansko,9055.13
TPS,blansko,0.44
BK,rosice,589.47
BO,rosice,1433.64
BR,rosice,49.66
DB,rosice,853.02
HB,rosice,273.77
JD,rosice,143.01
JS,rosice,30.55
KL,rosice,70.56
LP,rosice,195.92
MD,rosice,622.18
OL,rosice,34.92
SM,rosice,3146.47
TPS,rosice,0.97
BK,mikulov,0.55
BO,mikulov,31.29
BR,mikulov,21.15
DB,mikulov,352.97
HB,mikulov,111.85
JD,mikulov,0.0
JS,mikulov,529.94
KL,mikulov,20.3
LP,mikulov,154.35
MD,mikulov,2.7
OL,mikulov,35.83
SM,mikulov,6.04
TPS,mikulov,72.4
BK,veseli_nad_moravou,2263.1
BO,veseli_nad_moravou,281.46
BR,veseli_nad_moravou,26.23
DB,veseli_nad_moravou,1439.36
HB,veseli_nad_moravou,423.92
JD,veseli_nad_moravou,28.77
JS,veseli_nad_moravou,573.95
KL,veseli_nad_moravou,146.66
LP,veseli_nad_moravou,458.68
MD,veseli_nad_moravou,328.54
OL,veseli_nad_moravou,55.85
SM,veseli_nad_moravou,964.63
TPS,veseli_nad_moravou,87.06
BK,znojmo,240.3
BO,znojmo,4924.33
BR,znojmo,114.6
DB,znojmo,5327.51
HB,znojmo,1151.74
JD,znojmo,66.5
JS,znojmo,798.15
KL,znojmo,189.16
LP,znojmo,1074.29
MD,znojmo,790.57
OL,znojmo,475.18
SM,znojmo,4043.0
TPS,znojmo,151.08
BK,moravsky_krumlov,7.65
BO,moravsky_krumlov,1014.24
BR,moravsky_krumlov,49.13
DB,moravsky_krumlov,1682.15
HB,moravsky_krumlov,196.7
JD,moravsky_krumlov,1.71
JS,moravsky_krumlov,104.96
KL,moravsky_krumlov,22.82
LP,moravsky_krumlov,205.89
MD,moravsky_krumlov,163.78
OL,moravsky_krumlov,55.55
SM,moravsky_krumlov,232.43
TPS,moravsky_krumlov,8.8
BK,kurim,133.92
BO,kurim,461.43
BR,kurim,13.87
DB,kurim,882.48
HB,kurim,131.77
JD,kurim,18.67
JS,kurim,15.22
KL,kurim,19.11
LP,kurim,38.27
MD,kurim,136.66
OL,kurim,6.13
SM,kurim,709.02
TPS,kurim,0.1
BK,breclav,0.05
BO,breclav,1125.07
BR,breclav,8.09
DB,breclav,3429.5
HB,breclav,256.88
JD,breclav,0.0
JS,breclav,2377.49
KL,breclav,24.72
LP,breclav,260.4
MD,breclav,6.31
OL,breclav,69.7
SM,breclav,1.53
TPS,breclav,172.29
BK,tisnov,927.89
BO,tisnov,3066.39
BR,tisnov,240.41
DB,tisnov,2014.29
HB,tisnov,667.25
JD,tisnov,471.15
JS,tisnov,160.8
KL,tisnov,199.45
LP,tisnov,99.61
MD,tisnov,648.32
OL,tisnov,48.1
SM,tisnov,5566.39
TPS,tisnov,0.0
BK,boskovice,1218.89
BO,boskovice,2086.27
BR,boskovice,325.88
DB,boskovice,560.75
HB,boskovice,235.01
JD,boskovice,164.04
JS,boskovice,275.09
KL,boskovice,277.06
LP,boskovice,69.95
MD,boskovice,1170.31
OL,boskovice,150.33
SM,boskovice,11704.76
TPS,boskovice,0.0
BK,hodonin,13.36
BO,hodonin,1774.78
BR,hodonin,164.24
DB,hodonin,2429.2
HB,hodonin,138.64
JD,hodonin,0.24
JS,hodonin,432.36
KL,hodonin,23.27
LP,hodonin,439.53
MD,hodonin,25.65
OL,hodonin,225.46
SM,hodonin,9.08
TPS,hodonin,85.19
BK,pohorelice,0.08
BO,pohorelice,55.57
BR,pohorelice,3.63
DB,pohorelice,442.84
HB,pohorelice,9.15
JD,pohorelice,0.0
JS,pohorelice,263.85
KL,pohorelice,16.9
LP,pohorelice,40.89
MD,pohorelice,0.06
OL,pohorelice,67.34
SM,pohorelice,12.66
TPS,pohorelice,184.87
BK,slapanice,2693.75
BO,slapanice,1371.35
BR,slapanice,36.96
DB,slapanice,3112.26
HB,slapanice,1030.75
JD,slapanice,66.31
JS,slapanice,183.37
KL,slapanice,148.68
LP,slapanice,283.7
MD,slapanice,869.04
OL,slapanice,43.73
SM,slapanice,2104.97
TPS,slapanice,0.96
BK,brno,387.7
BO,brno,957.96
BR,brno,34.0
DB,brno,2376.04
HB,brno,542.19
JD,brno,12.95
JS,brno,62.6
KL,brno,54.57
LP,brno,296.25
MD,brno,349.56
OL,brno,31.28
SM,brno,826.5
TPS,brno,0.28
